"","food","family","style","home","health","drink","art","fashion","business","law","garden","society","education","science","government","travel","interests","religion","industrial","news","entertainment","sports","politics","fitness","pets","shopping","computing"
"education",0.156298483760786,0.452571181288937,0.0196116961729571,0.357683275119459,0.627811772356784,0.170766526240058,0.561939137835363,0.334169624706215,0.689341559939982,0.447075808028195,0.237639455188898,0.632160235172246,1,0.726096772933002,0.569175613016002,0.309960609661162,0.756038801237348,0.576332533731887,0.432539918000171,0.366671397939206,0.346998178735282,0.536932937506694,0.546196013840876,0.620123889899125,0.134121556176969,0.357270979822303,0.344892056914046
"science",0.320991418868395,0.259349332049507,0.0823015389753479,0.354141390800263,0.714328589932003,0.17591660463179,0.693463400480322,0.252272740670186,0.580324708029847,0.462991024608422,0.225088043250891,0.618424979075985,0.726096772933002,1,0.56242330176268,0.401377679157923,0.638117156503824,0.660608900000095,0.553718398469901,0.429326253023122,0.213697726594736,0.454513570633778,0.587274991847241,0.612652759175118,0.194884125234271,0.434487276933789,0.397508603935691
"government",0.305031930047421,0.26628341399768,0.0658389491734314,0.241536645656766,0.509391692758398,0.0558788469925696,0.321615179629238,0.229671881089993,0.515894803090624,0.632996609674099,0.184245189052965,0.705922217802979,0.569175613016002,0.56242330176268,1,0.326061703390644,0.686339631481893,0.557513902320821,0.600703348008513,0.304909051128587,0.176236547757877,0.531204659447824,0.544994375546405,0.516352700344362,0.15843257222761,0.375832717426511,0.293827881729641
"travel",0.226708136219665,0.319937066375924,0.0386323463806722,0.434903242408352,0.316877890063651,0.0814696821327678,0.311677833430569,0.174994166395605,0.523488514089311,0.217450335613151,0.327100193374777,0.392774043693113,0.309960609661162,0.401377679157923,0.326061703390644,1,0.276231113563486,0.341325913433013,0.280997192311196,0.411518511252457,0.329585294271508,0.513788503576283,0.341415800287495,0.452183608047343,0.155890019198247,0.531382805973715,0.331285530317873
"interests",0.197502794055267,0.319506331291216,-0.0205592780357526,0.308956234488959,0.686693749283701,0.154487688646745,0.509585570349286,0.268621154716015,0.621276639273467,0.571952145718042,0.0515441724468042,0.652065542109847,0.756038801237348,0.638117156503824,0.686339631481893,0.276231113563486,1,0.653410454759708,0.660319346269807,0.292570500437788,0.329153991798421,0.527339811711011,0.602009422019881,0.590040831549366,0.103893064366358,0.365913878110014,0.238608659916845
"religion",0.283891178159319,0.264807970753194,0.0499856627378955,0.35290692656246,0.569151639948738,0.219758209289117,0.545041562158798,0.261903817739042,0.54256541728361,0.355104129150963,0.147418628693473,0.579906301730068,0.576332533731887,0.660608900000095,0.557513902320821,0.341325913433013,0.653410454759708,1,0.544998143740636,0.221661747989238,0.285095418041442,0.484263306839377,0.638349741872413,0.638055514169812,0.191234005922877,0.369569061247235,0.233178674222911
"industrial",0.298978444864911,0.243585413062663,0.0982799015480243,0.277933090930348,0.502035877609896,0.123159854350149,0.481155070190454,0.0887078943081668,0.398262283967191,0.443313015924142,0.126249664510863,0.470865973981938,0.432539918000171,0.553718398469901,0.600703348008513,0.280997192311196,0.660319346269807,0.544998143740636,0.999999999999999,0.261114593465531,0.156611266058627,0.372664010323282,0.444863266112667,0.486407785756791,0.187258998735918,0.280593505193387,0.299849884531271
"news",0.0832227878079221,0.209980064633571,0.0984175623103955,0.395057508567136,0.279843713457587,0.0953150341102073,0.275564702441651,0.188139426322081,0.50625779264824,0.458883132780467,0.341066656943791,0.414101912057447,0.366671397939206,0.429326253023122,0.304909051128587,0.411518511252457,0.292570500437788,0.221661747989238,0.261114593465531,1,0.202636991784378,0.326449267296588,0.263829311578346,0.349217002124677,0.24036719582683,0.469887582620497,0.476524715992809
"entertainment",0.0772418692512366,0.451529119053831,-0.0186628155969137,0.439089619796279,0.238578486936053,0.248416861519755,0.284513542621349,0.248175723545083,0.516369724386624,0.150833503300769,0.315785107869576,0.408492390704363,0.346998178735282,0.213697726594736,0.176236547757877,0.329585294271508,0.329153991798421,0.285095418041442,0.156611266058627,0.202636991784378,1,0.409530873865331,0.248305847521565,0.510567988390228,0.180700854570504,0.432896404552812,0.0924846048913551
"sports",0.296609799946112,0.428922048748948,0.0118114682918423,0.40431546707339,0.561200997316959,0.203007899529059,0.359135834110614,0.210122622159961,0.552716288822222,0.387897893498125,0.427213893998324,0.541007162523205,0.536932937506694,0.454513570633778,0.531204659447824,0.513788503576283,0.527339811711011,0.484263306839377,0.372664010323282,0.326449267296588,0.409530873865331,1,0.434270266296084,0.53180757610458,0.279458744109235,0.603869075068406,0.341225383227724
"politics",0.190561687846291,0.29194621738844,0.0304621137771187,0.407929699115922,0.500907098030638,0.235571949253158,0.489610970685742,0.227007310516626,0.51376954547564,0.338481305724211,0.147882150421726,0.615189606764874,0.546196013840876,0.587274991847241,0.544994375546405,0.341415800287495,0.602009422019881,0.638349741872413,0.444863266112667,0.263829311578346,0.248305847521565,0.434270266296084,1,0.678958234508323,0.309553793198928,0.48302318759824,0.333315183420688
"fitness",0.209986007434368,0.394867098701752,0.0237156736293739,0.470097015047802,0.545618548812326,0.260314151400962,0.517111984511537,0.298482403816459,0.676812929330795,0.36791681944222,0.280364694715392,0.636003295494822,0.620123889899125,0.612652759175118,0.516352700344362,0.452183608047343,0.590040831549366,0.638055514169812,0.486407785756791,0.349217002124677,0.510567988390228,0.53180757610458,0.678958234508323,1,0.199351799560929,0.526796007642039,0.338221912051192
"pets",0.080005703661297,0.178279658736574,0.307032081522973,0.154406061508301,0.157351157312132,0.101496605032431,0.192134219868335,0.0372459831200059,0.276092616129994,-0.0141728284632064,0.167137090563427,0.257136021538221,0.134121556176969,0.194884125234271,0.15843257222761,0.155890019198247,0.103893064366358,0.191234005922877,0.187258998735918,0.24036719582683,0.180700854570504,0.279458744109235,0.309553793198928,0.199351799560929,1,0.262499260200814,0.258641282054681
"shopping",0.145757825938034,0.314894846085089,0.0415720016842735,0.486819428459638,0.378167102341174,0.149748611070512,0.299792244693235,0.204763196433818,0.567710562322503,0.275745252847199,0.318195643128346,0.482169755852507,0.357270979822303,0.434487276933789,0.375832717426511,0.531382805973715,0.365913878110014,0.369569061247235,0.280593505193387,0.469887582620497,0.432896404552812,0.603869075068406,0.48302318759824,0.526796007642039,0.262499260200814,0.999999999999999,0.401566557197513
"computing",0.0929282267748911,0.222791559914697,0.131351976405132,0.240211211448633,0.284518824872302,-0.0134492996563977,0.240214187344343,0.201211683854612,0.29893902667046,0.177532204244118,0.290769850184397,0.25079692625825,0.344892056914046,0.397508603935691,0.293827881729641,0.331285530317873,0.238608659916845,0.233178674222911,0.299849884531271,0.476524715992809,0.0924846048913551,0.341225383227724,0.333315183420688,0.338221912051192,0.258641282054681,0.401566557197513,1
